304678fb79adc7d18bc570816e65c16f.(9, 6).Apex	so much packed in a small <e1>case</e1> and very <e2>affordable</e2>
d8105077a4434e718fee25bbe1966b63.(24, 27).Apex	i looked into buying an inexpensive dvd player that had more than the standard set of feature and this item seemed to be the <e1>best</e1> in that <e2>category</e2>
-(e1, e2)
31aa5c3f5d31378b6c3d2a52028a86f5.(10, 1).Apex	but <e1>dollar</e1> for dollar this dvd player is probably the <e2>best</e2> out there
-(e2, e1)
31aa5c3f5d31378b6c3d2a52028a86f5.(10, 3).Apex	but dollar for <e1>dollar</e1> this dvd player is probably the <e2>best</e2> out there
-(e2, e1)
291b89defbbe4a497ff51c7d8d63f47c.(3, 8).Apex	apex is the <e1>best</e1> cheap quality brand for <e2>dvd</e2> player
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(24, 6).Apex	i looked into buying an inexpensive <e1>dvd</e1> player that had more than the standard set of feature and this item seemed to be the <e2>best</e2> in that category
-(e2, e1)
192d1feac80f1b657136f3ef38389d3c.(3, 4).Apex	this is the <e1>best</e1> <e2>dvd</e2> player i 've purchased
-(e1, e2)
862e0d8256d5175b4c962e3c6454f2af.(5, 6).Apex	i think apex is the <e1>best</e1> <e2>dvd</e2> player you can get for the price
-(e1, e2)
31aa5c3f5d31378b6c3d2a52028a86f5.(10, 5).Apex	but dollar for dollar this <e1>dvd</e1> player is probably the <e2>best</e2> out there
-(e2, e1)
d8105077a4434e718fee25bbe1966b63.(24, 16).Apex	i looked into buying an inexpensive dvd player that had more than the standard set of <e1>feature</e1> and this item seemed to be the <e2>best</e2> in that category
-(e2, e1)
d8105077a4434e718fee25bbe1966b63.(24, 19).Apex	i looked into buying an inexpensive dvd player that had more than the standard set of feature and this <e1>item</e1> seemed to be the <e2>best</e2> in that category
-(e2, e1)
862e0d8256d5175b4c962e3c6454f2af.(5, 13).Apex	i think apex is the <e1>best</e1> dvd player you can get for the <e2>price</e2>
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(24, 14).Apex	i looked into buying an inexpensive dvd player that had more than the standard <e1>set</e1> of feature and this item seemed to be the <e2>best</e2> in that category
-(e2, e1)
9947e0d4813586c77a652fb805fbac2e.(41, 23).Apex	the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by <e1>accident</e1> it is not mentioned anywhere in the literature that it will play mpeg1 file on a regular <e2>cd-r</e2> data disk without vcd formatting
-(e2, e1)
9947e0d4813586c77a652fb805fbac2e.(41, 18).Apex	the fact that this model would play jpeg slideshows was a big plus for me as a visual <e1>artist</e1> and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 file on a regular <e2>cd-r</e2> data disk without vcd formatting
-(e2, e1)
9947e0d4813586c77a652fb805fbac2e.(41, 37).Apex	the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 <e1>file</e1> on a regular <e2>cd-r</e2> data disk without vcd formatting
-(e2, e1)
9947e0d4813586c77a652fb805fbac2e.(41, 46).Apex	the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 file on a regular <e1>cd-r</e1> data disk without vcd <e2>formatting</e2>
-(e1, e2)
9947e0d4813586c77a652fb805fbac2e.(41, 7).Apex	the fact that this model would play <e1>jpeg</e1> slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 file on a regular <e2>cd-r</e2> data disk without vcd formatting
-(e2, e1)
9947e0d4813586c77a652fb805fbac2e.(41, 12).Apex	the fact that this model would play jpeg slideshows was a big <e1>plus</e1> for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 file on a regular <e2>cd-r</e2> data disk without vcd formatting
-(e2, e1)
9947e0d4813586c77a652fb805fbac2e.(41, 45).Apex	the fact that this model would play jpeg slideshows was a big plus for me as a visual artist and i discovered by accident it is not mentioned anywhere in the literature that it will play mpeg1 file on a regular <e1>cd-r</e1> data disk without <e2>vcd</e2> formatting
-(e1, e2)
9151bec746be1369933e0711724fabba.(36, 35).Apex	the player usually play dvd 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to <e1>access</e1> <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(14, 7).Apex	i have sent my ad2600 back to <e1>apex</e1> because it wo n 't play <e2>certain</e2> disney and other dvd movie no disc message
-(e2, e1)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(14, 21).Apex	i have sent my ad2600 back to apex because it wo n 't play <e1>certain</e1> disney and other dvd movie no <e2>disc</e2> message
-(e1, e2)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(14, 18).Apex	i have sent my ad2600 back to apex because it wo n 't play <e1>certain</e1> disney and other <e2>dvd</e2> movie no disc message
-(e1, e2)
a3501130193708007cd28c5fd53b8965.(9, 19).Apex	on 2 dvds so far it refuse to play <e1>certain</e1> episode with no problem on the others on the <e2>dvd</e2>
-(e1, e2)
9151bec746be1369933e0711724fabba.(36, 4).Apex	the player usually play <e1>dvd</e1> 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
9151bec746be1369933e0711724fabba.(36, 16).Apex	the player usually play dvd 's but has occasional problem such as 1 not recognizing a <e1>dvd</e1> 2 stopping a particular point in a movie every time we played it 3 not being able to access <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
9151bec746be1369933e0711724fabba.(36, 42).Apex	the player usually play dvd 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access <e1>certain</e1> special feature on a rental <e2>dvd</e2>
-(e1, e2)
9151bec746be1369933e0711724fabba.(36, 38).Apex	the player usually play dvd 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access <e1>certain</e1> special <e2>feature</e2> on a rental dvd
-(e1, e2)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(14, 22).Apex	i have sent my ad2600 back to apex because it wo n 't play <e1>certain</e1> disney and other dvd movie no disc <e2>message</e2>
-(e1, e2)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(14, 19).Apex	i have sent my ad2600 back to apex because it wo n 't play <e1>certain</e1> disney and other dvd <e2>movie</e2> no disc message
-(e1, e2)
9151bec746be1369933e0711724fabba.(36, 24).Apex	the player usually play dvd 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular point in a <e1>movie</e1> every time we played it 3 not being able to access <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
9151bec746be1369933e0711724fabba.(36, 1).Apex	the <e1>player</e1> usually play dvd 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
9151bec746be1369933e0711724fabba.(36, 21).Apex	the player usually play dvd 's but has occasional problem such as 1 not recognizing a dvd 2 stopping a particular <e1>point</e1> in a movie every time we played it 3 not being able to access <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
a3501130193708007cd28c5fd53b8965.(9, 13).Apex	on 2 dvds so far it refuse to play <e1>certain</e1> episode with no <e2>problem</e2> on the others on the dvd
-(e1, e2)
9151bec746be1369933e0711724fabba.(36, 9).Apex	the player usually play dvd 's but has occasional <e1>problem</e1> such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access <e2>certain</e2> special feature on a rental dvd
-(e2, e1)
168375c1396ae73de3fde98510ddc928.(7, 12).Apex	the build quality show why its so <e1>cheap</e1> small scratch on the <e2>base</e2> plate something that you would n 't see on a sony and an overall plasticky feel
-(e1, e2)
291b89defbbe4a497ff51c7d8d63f47c.(4, 8).Apex	apex is the best <e1>cheap</e1> quality brand for <e2>dvd</e2> player
-(e1, e2)
168375c1396ae73de3fde98510ddc928.(7, 28).Apex	the build quality show why its so <e1>cheap</e1> small scratch on the base plate something that you would n 't see on a sony and an overall plasticky <e2>feel</e2>
-(e1, e2)
168375c1396ae73de3fde98510ddc928.(7, 13).Apex	the build quality show why its so <e1>cheap</e1> small scratch on the base <e2>plate</e2> something that you would n 't see on a sony and an overall plasticky feel
-(e1, e2)
291b89defbbe4a497ff51c7d8d63f47c.(4, 9).Apex	apex is the best <e1>cheap</e1> quality brand for dvd <e2>player</e2>
-(e1, e2)
168375c1396ae73de3fde98510ddc928.(7, 9).Apex	the build quality show why its so <e1>cheap</e1> small <e2>scratch</e2> on the base plate something that you would n 't see on a sony and an overall plasticky feel
-(e1, e2)
168375c1396ae73de3fde98510ddc928.(7, 3).Apex	the build quality <e1>show</e1> why its so <e2>cheap</e2> small scratch on the base plate something that you would n 't see on a sony and an overall plasticky feel
-(e2, e1)
168375c1396ae73de3fde98510ddc928.(7, 23).Apex	the build quality show why its so <e1>cheap</e1> small scratch on the base plate something that you would n 't see on a <e2>sony</e2> and an overall plasticky feel
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(1, 20).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like mp3 wma cd jpeg and kodak picture <e2>cd</e2> dvd 's dvd r 's
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(1, 15).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like mp3 wma <e2>cd</e2> jpeg and kodak picture cd dvd 's dvd r 's
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(1, 23).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like mp3 wma cd jpeg and kodak picture cd dvd 's <e2>dvd</e2> r 's
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(1, 21).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like mp3 wma cd jpeg and kodak picture cd <e2>dvd</e2> 's dvd r 's
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(1, 16).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like mp3 wma cd <e2>jpeg</e2> and kodak picture cd dvd 's dvd r 's
-(e1, e2)
80cb6fbb20332fa22c5eba0f351a1901.(15, 14).Apex	and the slim form-factor together with the mirror-like front panel sure makes the player <e1>look</e1> <e2>cool</e2> and pricey
-(e2, e1)
d1f5cf6191b3c90d8622b5f87670e411.(1, 13).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like <e2>mp3</e2> wma cd jpeg and kodak picture cd dvd 's dvd r 's
-(e1, e2)
80cb6fbb20332fa22c5eba0f351a1901.(15, 9).Apex	and the slim form-factor together with the mirror-like front <e1>panel</e1> sure makes the player look <e2>cool</e2> and pricey
-(e2, e1)
d1f5cf6191b3c90d8622b5f87670e411.(1, 19).Apex	the <e1>cool</e1> thing about the ad-2600 it play alot of different file like mp3 wma cd jpeg and kodak <e2>picture</e2> cd dvd 's dvd r 's
-(e1, e2)
80cb6fbb20332fa22c5eba0f351a1901.(15, 13).Apex	and the slim form-factor together with the mirror-like front panel sure makes the <e1>player</e1> look <e2>cool</e2> and pricey
-(e2, e1)
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(6, 14).Apex	my other gripe is the incredibly <e1>crappy</e1> remote which is worse than other cheaper <e2>apex</e2> unit
-(e1, e2)
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(6, 15).Apex	my other gripe is the incredibly <e1>crappy</e1> remote which is worse than other cheaper apex <e2>unit</e2>
-(e1, e2)
a8ace68534381de6693b2cd4a413efea.(19, 10).Apex	also it was only 39 99 after rebate with free <e1>shipping</e1> and no tax so overall it is a <e2>decent</e2> player
-(e2, e1)
a8ace68534381de6693b2cd4a413efea.(19, 13).Apex	also it was only 39 99 after rebate with free shipping and no <e1>tax</e1> so overall it is a <e2>decent</e2> player
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 3).Apex	i bought this <e1>apex</e1> 2600 dvd player for myself at christmas because it got good review as a good value for the money on a variety of <e2>different</e2> site
-(e2, e1)
61b0cbdba9d3d1062735828f148c2ac5.(5, 3).Apex	i tried as <e1>bunch</e1> of <e2>different</e2> format to see if it would play and it did
-(e2, e1)
d1f5cf6191b3c90d8622b5f87670e411.(10, 15).Apex	the cool thing about the ad-2600 it play alot of <e1>different</e1> file like mp3 wma <e2>cd</e2> jpeg and kodak picture cd dvd 's dvd r 's
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(10, 20).Apex	the cool thing about the ad-2600 it play alot of <e1>different</e1> file like mp3 wma cd jpeg and kodak picture <e2>cd</e2> dvd 's dvd r 's
-(e1, e2)
f7c6a30b651882d1ae5523552ba03649.(9, 15).Apex	i 've attempted to connect this unit to several <e1>different</e1> tv using a multitude of <e2>connection</e2> method and i still can 't get a video signal from the machine
-(e1, e2)
be4b7903a9d098dd895e2eb70527204a.(5, 6).Apex	this has happened with several <e1>different</e1> <e2>dvd</e2> 's and occasionally if we keep trying something it will work when it did not work one time before
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 5).Apex	i bought this apex 2600 <e1>dvd</e1> player for myself at christmas because it got good review as a good value for the money on a variety of <e2>different</e2> site
-(e2, e1)
d1f5cf6191b3c90d8622b5f87670e411.(10, 23).Apex	the cool thing about the ad-2600 it play alot of <e1>different</e1> file like mp3 wma cd jpeg and kodak picture cd dvd 's <e2>dvd</e2> r 's
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(10, 21).Apex	the cool thing about the ad-2600 it play alot of <e1>different</e1> file like mp3 wma cd jpeg and kodak picture cd <e2>dvd</e2> 's dvd r 's
-(e1, e2)
61b0cbdba9d3d1062735828f148c2ac5.(5, 6).Apex	i tried as bunch of <e1>different</e1> <e2>format</e2> to see if it would play and it did
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(10, 16).Apex	the cool thing about the ad-2600 it play alot of <e1>different</e1> file like mp3 wma cd <e2>jpeg</e2> and kodak picture cd dvd 's dvd r 's
-(e1, e2)
f7c6a30b651882d1ae5523552ba03649.(9, 28).Apex	i 've attempted to connect this unit to several <e1>different</e1> tv using a multitude of connection method and i still can 't get a video signal from the <e2>machine</e2>
-(e1, e2)
f7c6a30b651882d1ae5523552ba03649.(9, 16).Apex	i 've attempted to connect this unit to several <e1>different</e1> tv using a multitude of connection <e2>method</e2> and i still can 't get a video signal from the machine
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 22).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a good value for the <e1>money</e1> on a variety of <e2>different</e2> site
-(e2, e1)
f7c6a30b651882d1ae5523552ba03649.(9, 13).Apex	i 've attempted to connect this unit to several <e1>different</e1> tv using a <e2>multitude</e2> of connection method and i still can 't get a video signal from the machine
-(e1, e2)
d1f5cf6191b3c90d8622b5f87670e411.(10, 19).Apex	the cool thing about the ad-2600 it play alot of <e1>different</e1> file like mp3 wma cd jpeg and kodak <e2>picture</e2> cd dvd 's dvd r 's
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 6).Apex	i bought this apex 2600 dvd <e1>player</e1> for myself at christmas because it got good review as a good value for the money on a variety of <e2>different</e2> site
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 15).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good <e1>review</e1> as a good value for the money on a variety of <e2>different</e2> site
-(e2, e1)
f7c6a30b651882d1ae5523552ba03649.(9, 25).Apex	i 've attempted to connect this unit to several <e1>different</e1> tv using a multitude of connection method and i still can 't get a video <e2>signal</e2> from the machine
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 28).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a good value for the money on a variety of <e1>different</e1> <e2>site</e2>
-(e1, e2)
f7c6a30b651882d1ae5523552ba03649.(9, 10).Apex	i 've attempted to connect this unit to several <e1>different</e1> <e2>tv</e2> using a multitude of connection method and i still can 't get a video signal from the machine
-(e1, e2)
f7c6a30b651882d1ae5523552ba03649.(9, 6).Apex	i 've attempted to connect this <e1>unit</e1> to several <e2>different</e2> tv using a multitude of connection method and i still can 't get a video signal from the machine
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 19).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a good <e1>value</e1> for the money on a variety of <e2>different</e2> site
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(27, 25).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a good value for the money on a <e1>variety</e1> of <e2>different</e2> site
-(e2, e1)
882f8c2afb0b7af577d6c9ab03ee0778.(13, 7).Apex	i have not even used my new <e1>dvd</e1> player and already i am <e2>disapointed</e2>
-(e2, e1)
76d840b24bd2063c716af94af9053f6b.(13, 13).Apex	update january 27th 2004 the second one crapped out only after a week <e2><e1>dont</e1></e2> buy this product
-(e2, e1)
76d840b24bd2063c716af94af9053f6b.(13, 12).Apex	update january 27th 2004 the second one crapped out only after a <e1>week</e1> <e2>dont</e2> buy this product
-(e2, e1)
1b4b8b00a1be6322acc0a3232c0e902d.(23, 11).Apex	the progressive scan option can be turned off easily by a <e1>button</e1> on the remote control which is one of the simplest and <e2>easiest</e2> remote control i have ever seen or used
-(e2, e1)
1b4b8b00a1be6322acc0a3232c0e902d.(23, 15).Apex	the progressive scan option can be turned off easily by a button on the remote <e1>control</e1> which is one of the simplest and <e2>easiest</e2> remote control i have ever seen or used
-(e2, e1)
1b4b8b00a1be6322acc0a3232c0e902d.(23, 25).Apex	the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and <e1>easiest</e1> remote <e2>control</e2> i have ever seen or used
-(e1, e2)
1b4b8b00a1be6322acc0a3232c0e902d.(23, 14).Apex	the progressive scan option can be turned off easily by a button on the <e1>remote</e1> control which is one of the simplest and <e2>easiest</e2> remote control i have ever seen or used
-(e2, e1)
1b4b8b00a1be6322acc0a3232c0e902d.(23, 24).Apex	the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and <e1>easiest</e1> <e2>remote</e2> control i have ever seen or used
-(e1, e2)
1884b63b7e64eae77c5a882b7904a99b.(0, 4).Apex	<e1>easy</e1> to use small <e2>form</e2> factor and look good to boot
-(e1, e2)
eb49671e2b0f5b54b7dfefe2d8de0a1b.(3, 12).Apex	there are really <e1>easy</e1> direction for setup and fiddling around with the <e2>picture</e2> zoom etc
-(e1, e2)
eb49671e2b0f5b54b7dfefe2d8de0a1b.(3, 6).Apex	there are really <e1>easy</e1> direction for <e2>setup</e2> and fiddling around with the picture zoom etc
-(e1, e2)
eb49671e2b0f5b54b7dfefe2d8de0a1b.(3, 13).Apex	there are really <e1>easy</e1> direction for setup and fiddling around with the picture <e2>zoom</e2> etc
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 50).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in <e2>anything</e2> but the dvd burner itself that i had made the disc with
-(e1, e2)
4fb852ec14462e823ccc18ab597d17b6.(31, 10).Apex	i did not want to have high expectation for this <e1>apex</e1> player because of the price but it is definitely working out much better than what i would expect from an <e2>expensive</e2> high-end player
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(15, 54).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd <e2>burner</e2> itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 61).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the <e2>disc</e2> with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 19).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium <e2>disc</e2> 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 16).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> <e2>dvd</e2> r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 53).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the <e2>dvd</e2> burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 35).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium disc 's that other player would play but to my surprise was able to play cheep <e2>medium</e2> that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(15, 18).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r <e2>medium</e2> disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
4fb852ec14462e823ccc18ab597d17b6.(31, 15).Apex	i did not want to have high expectation for this apex player because of the <e1>price</e1> but it is definitely working out much better than what i would expect from an <e2>expensive</e2> high-end player
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(15, 11).Apex	when i 1st tried it i found that it had no <e1>problem</e1> playing the more <e2>expensive</e2> dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(15, 29).Apex	when i 1st tried it i found that it had no problem playing the more <e1>expensive</e1> dvd r medium disc 's that other player would play but to my <e2>surprise</e2> was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
9bda6f3b3d54d3179789e2d0c3aa99fa.(11, 13).Apex	for example i tried playing my new pirate of the carribean <e1>extra</e1> feature <e2>dvd</e2> but this dvd player can not read it
-(e1, e2)
9bda6f3b3d54d3179789e2d0c3aa99fa.(11, 16).Apex	for example i tried playing my new pirate of the carribean <e1>extra</e1> feature dvd but this <e2>dvd</e2> player can not read it
-(e1, e2)
9bda6f3b3d54d3179789e2d0c3aa99fa.(11, 12).Apex	for example i tried playing my new pirate of the carribean <e1>extra</e1> <e2>feature</e2> dvd but this dvd player can not read it
-(e1, e2)
9bda6f3b3d54d3179789e2d0c3aa99fa.(11, 17).Apex	for example i tried playing my new pirate of the carribean <e1>extra</e1> feature dvd but this dvd <e2>player</e2> can not read it
-(e1, e2)
44fa354def3a024a49de7a6b055cf68c.(12, 6).Apex	i immediately had problem getting the <e1>player</e1> to recognize two of my <e2>favorite</e2> dvds
-(e2, e1)
d460f81b43998cfb748cde2be9836aec.(3, 23).Apex	for the first <e1>few</e1> week this player was everything i expected it to be an affordable multi-format dvd player with a stylish slim <e2>case</e2> as advertised
-(e1, e2)
ded43ef4232c5c23698e001714547447.(8, 1).Apex	new <e1>cd</e1> almost always began skipping after a <e2>few</e2> play
-(e2, e1)
84b3210547b32bd5ab20ec53b3438380.(3, 5).Apex	there were a <e1>few</e1> attractive <e2>feature</e2> such as the small size and the layout of the remote
-(e1, e2)
84b3210547b32bd5ab20ec53b3438380.(3, 13).Apex	there were a <e1>few</e1> attractive feature such as the small size and the <e2>layout</e2> of the remote
-(e1, e2)
80a2e096524056f7ac5d85b13f7b69fe.(36, 37).Apex	but about 25 of dvd 's i 've played on ithave a problem when watching a movie the picture will freeze but the dvd still play and eventualy the picture kick back in after skipping a <e1>few</e1> <e2>moment</e2>
-(e1, e2)
c6b55dc63ae357379b1ceebd32e4b39a.(9, 13).Apex	so far we 've only used this player a <e1>few</e1> time to watch <e2>movie</e2> and it has worked fine
-(e1, e2)
80a2e096524056f7ac5d85b13f7b69fe.(36, 16).Apex	but about 25 of dvd 's i 've played on ithave a problem when watching a <e1>movie</e1> the picture will freeze but the dvd still play and eventualy the picture kick back in after skipping a <e2>few</e2> moment
-(e2, e1)
80a2e096524056f7ac5d85b13f7b69fe.(36, 29).Apex	but about 25 of dvd 's i 've played on ithave a problem when watching a movie the picture will freeze but the dvd still play and eventualy the <e1>picture</e1> kick back in after skipping a <e2>few</e2> moment
-(e2, e1)
80a2e096524056f7ac5d85b13f7b69fe.(36, 18).Apex	but about 25 of dvd 's i 've played on ithave a problem when watching a movie the <e1>picture</e1> will freeze but the dvd still play and eventualy the picture kick back in after skipping a <e2>few</e2> moment
-(e2, e1)
ded43ef4232c5c23698e001714547447.(8, 9).Apex	new cd almost always began skipping after a <e1>few</e1> <e2>play</e2>
-(e1, e2)
80a2e096524056f7ac5d85b13f7b69fe.(36, 25).Apex	but about 25 of dvd 's i 've played on ithave a problem when watching a movie the picture will freeze but the dvd still <e1>play</e1> and eventualy the picture kick back in after skipping a <e2>few</e2> moment
-(e2, e1)
01718f91df378fcdfc1e18e529d84f5e.(6, 13).Apex	this is probably one of the <e1>few</e1> dvd player at 40 that can <e2>play</e2> almost everything you throw at it
-(e1, e2)
c6b55dc63ae357379b1ceebd32e4b39a.(9, 7).Apex	so far we 've only used this <e1>player</e1> a <e2>few</e2> time to watch movie and it has worked fine
-(e2, e1)
d460f81b43998cfb748cde2be9836aec.(3, 18).Apex	for the first <e1>few</e1> week this player was everything i expected it to be an affordable multi-format dvd <e2>player</e2> with a stylish slim case as advertised
-(e1, e2)
